id,product_id,brand,price,color,purchased,days_on_market
97266,412,samsung,195.47,black,0,30
213962,459,samsung,224.69,silver,1,19
192995,20,apple,460.63,gold,0,30
76260,26,apple,373.5,black,1,13
158753,528,xiaomi,341.66,white,1,12
6364,196,xiaomi,141.66,black,1,19
132077,629,apple,1000.36,white,1,21
148005,562,samsung,553.41,white,1,10
13948,123688,jinga,59.18,silver,1,26
68991,474,samsung,131.92,white,1,4
22279,60,apple,696.13,black,1,14
33778,459,samsung,229.41,black,1,15
32287,474,samsung,130.99,blue,0,30
52966,62,apple,707.67,white,1,1
203257,474,samsung,130.48,white,1,10
193770,679,samsung,213.27,gold,0,30
95397,557,xiaomi,94.98,silver,1,27
123439,457,samsung,174.78,white,1,0
34249,461,oppo,179.64,black,0,30
16148,20,apple,459.47,silver,0,30
55867,20,apple,460.0,gold,1,19
216699,482,samsung,283.23,blue,1,23
66533,420,samsung,250.69,blue,0,30
112856,617,apple,1409.79,blue,0,30
151464,196,xiaomi,142.29,silver,1,11
25618,286,apple,1464.39,white,1,22
29681,387,huawei,153.84,black,0,30
46084,420,samsung,250.13,silver,0,30
67284,547,vivo,218.77,white,1,20
37142,372,samsung,727.69,blue,0,30
21491,474,samsung,130.99,black,0,30
52507,456,samsung,172.22,silver,1,28
95067,555,xiaomi,89.6,gold,0,30
98061,474,samsung,131.02,blue,0,30
141953,372,samsung,729.75,silver,1,13
147982,428,huawei,272.05,blue,0,30
83252,557,xiaomi,95.73,white,1,23
17640,260,apple,725.12,white,1,28
71524,20,apple,460.05,gold,0,30
81783,587,xiaomi,232.95,black,0,30
218534,484,samsung,278.4,black,1,26
200130,459,samsung,223.73,gold,0,30
65462,476,samsung,131.53,gold,0,30
114096,420,samsung,249.94,gold,1,9
118276,459,samsung,230.28,gold,0,30
44755,369,samsung,635.8,gold,0,30
14523,557,xiaomi,99.72,silver,1,2
101838,484,samsung,278.64,silver,1,26
126042,474,samsung,131.66,silver,1,14
143133,406,xiaomi,188.11,silver,1,10
140308,352,huawei,165.77,silver,1,24
201277,352,huawei,169.32,silver,1,13
141782,679,samsung,217.39,gold,0,30
119283,232,samsung,88.81,white,1,18
83096,426,huawei,271.77,white,1,14
207166,420,samsung,250.68,black,1,15
210021,67,apple,965.02,blue,0,30
213159,351,huawei,169.48,silver,1,13
68424,456,samsung,172.14,black,0,30
198660,474,samsung,131.64,black,1,15
79510,670,xiaomi,222.08,silver,1,24
206706,459,samsung,223.76,blue,0,30
18742,260,apple,731.11,black,0,30
117726,372,samsung,731.04,white,1,8
38742,456,samsung,170.79,silver,1,24
191339,231,samsung,88.81,black,1,14
167706,260,apple,745.94,gold,0,30
59131,456,samsung,170.14,white,1,26
153605,670,xiaomi,215.47,silver,1,25
171339,627,apple,1055.09,black,0,30
11550,456,samsung,172.17,silver,1,14
131688,474,samsung,131.66,white,0,30
174411,482,samsung,284.37,silver,1,20
178669,420,samsung,250.82,silver,1,13
69854,461,oppo,179.14,blue,0,30
56738,269,apple,742.91,gold,1,10
124632,260,apple,753.69,silver,1,9
139444,474,samsung,131.66,silver,1,14
171370,562,samsung,530.22,blue,1,25
191991,262,apple,1052.54,silver,1,3
210172,420,samsung,245.28,silver,1,25
18563,433,xiaomi,225.66,gold,0,30
78892,474,samsung,129.99,white,0,30
52279,412,samsung,195.3,blue,0,30
93432,485,samsung,369.2,silver,1,23
201774,646,apple,1747.79,white,1,8
205850,644,apple,1618.83,silver,1,10
141488,583,xiaomi,203.09,blue,0,30
185404,612,samsung,152.46,white,1,6
104650,20,apple,462.56,silver,1,1
46647,406,xiaomi,196.63,silver,1,3
177411,643,apple,1356.21,silver,1,30
98832,562,samsung,614.53,silver,1,0
125783,420,samsung,243.22,white,1,28
102077,428,huawei,272.33,white,1,5
96680,230,samsung,88.8,silver,1,18
12823,239,apple,1007.08,black,0,30
202006,531,oppo,179.25,blue,0,30
32624,230,samsung,88.8,white,1,16
14045,462,oppo,141.29,gold,0,30
51858,476,samsung,131.53,white,1,25
72257,485,samsung,380.69,silver,0,30
194699,485,samsung,362.74,black,0,30
58496,260,apple,745.58,white,1,15
28633,456,samsung,172.19,blue,1,12
21076,351,huawei,165.2,gold,0,30
174116,647,apple,2053.57,white,1,22
16686,462,oppo,179.14,white,1,1
9398,20,apple,464.08,gold,0,30
100147,459,samsung,229.22,blue,0,30
7297,484,samsung,287.76,black,0,30
37967,474,samsung,131.53,blue,0,30
83382,408,xiaomi,189.97,gold,0,30
190385,27,apple,358.44,silver,1,19
34025,486,samsung,365.16,white,1,26
55661,617,apple,1420.86,white,1,16
97091,491,oppo,128.68,silver,1,20
66444,459,samsung,230.59,white,1,5
112768,626,apple,967.8,white,1,28
40776,62,apple,690.88,black,1,22
156068,408,xiaomi,185.8,white,1,3
147749,485,samsung,366.6,gold,1,26
134488,557,xiaomi,96.22,blue,0,30
212140,637,apple,1424.49,silver,0,30
116015,518,vivo,141.55,blue,0,30
103978,611,samsung,145.12,white,1,13
101685,474,samsung,129.99,gold,0,30
15295,260,apple,766.76,silver,1,13
84299,196,xiaomi,135.99,white,1,0
141329,421,samsung,243.25,blue,0,30
197010,474,samsung,130.47,black,0,30
24739,643,apple,1428.58,black,0,30
34661,54,apple,576.51,white,1,21
202895,626,apple,1003.6,white,1,16
88657,11,apple,584.31,black,0,30
145904,611,samsung,145.12,silver,1,14
195994,613,xiaomi,424.46,white,1,6
136564,120379,apple,424.7,white,1,21
7768,230,samsung,88.79,white,1,23
158086,621,apple,1013.93,blue,0,30
127187,474,samsung,131.02,blue,0,30
173969,408,xiaomi,185.67,blue,0,30
142803,408,xiaomi,190.22,gold,0,30
102308,502,huawei,106.57,black,1,28
208572,610,samsung,140.71,black,0,30
171525,612,samsung,150.78,silver,1,8
187363,456,samsung,170.92,silver,1,8
52604,644,apple,1619.09,black,0,30
56486,617,apple,1428.31,silver,0,30
45618,351,huawei,172.02,gold,0,30
155219,491,oppo,153.02,gold,0,30
129238,419,samsung,245.21,gold,0,30
158375,123689,samsung,226.7,silver,1,12
180524,474,samsung,131.66,black,0,30
201286,18,apple,463.07,blue,0,30
85921,456,samsung,173.98,silver,1,3
140642,266,apple,738.2,black,1,6
45008,260,apple,746.22,white,1,18
484,474,samsung,131.53,gold,0,30
6585,387,huawei,154.03,silver,1,1
25966,474,samsung,130.48,white,1,10
108842,627,apple,1090.89,white,1,15
104321,120,sony,283.12,silver,1,6
126156,459,samsung,224.07,white,1,23
100017,474,samsung,130.99,silver,1,28
145753,643,apple,1412.88,white,1,13
180484,119983,oppo,256.89,blue,0,30
113356,617,apple,1404.08,silver,1,21
164627,617,apple,1415.48,silver,1,0
192929,647,apple,2053.57,black,0,30
41257,474,samsung,131.53,blue,1,18
143502,555,xiaomi,88.02,blue,0,30
31626,410,huawei,126.62,white,0,30
211292,617,apple,1411.55,black,0,30
181535,119981,xiaomi,112.87,silver,1,29
53329,420,samsung,246.96,silver,1,21
10373,260,apple,732.09,black,0,30
15644,45091,samsung,1029.34,white,1,21
161364,20,apple,459.21,blue,0,30
218483,408,xiaomi,185.67,blue,1,3
68543,20,apple,459.66,silver,1,19
108914,487,samsung,367.47,white,0,30
178978,631,apple,1181.5,silver,1,9
47721,528,xiaomi,341.66,blue,0,30
179518,587,xiaomi,230.35,white,1,15
21476,626,apple,1003.6,black,0,30
172704,594,samsung,1140.04,black,1,13
84952,474,samsung,130.48,blue,0,30
18681,27,apple,359.03,blue,0,30
20197,595,samsung,1157.02,white,1,2
15838,474,samsung,131.51,black,1,24
162601,501,huawei,111.7,blue,1,2
68297,626,apple,972.74,white,1,6
124974,372,samsung,729.75,white,0,30
204086,627,apple,1052.79,silver,0,30
131949,408,xiaomi,197.12,white,1,11
62937,459,samsung,224.15,white,1,22
139885,456,samsung,170.85,silver,1,21
177307,461,oppo,154.19,black,0,30
147127,230,samsung,88.81,silver,1,22
86974,474,samsung,130.76,white,1,5
119960,419,samsung,250.86,silver,1,12
115336,656,apple,2108.16,white,1,7
53862,475,samsung,130.25,white,1,2
161687,424,xiaomi,135.01,silver,0,30
137885,477,samsung,170.92,gold,0,30
70453,261,apple,780.09,black,0,30
48617,146,huawei,771.93,silver,1,14
202216,482,samsung,286.22,gold,0,30
217934,670,xiaomi,225.13,gold,0,30
53713,502,huawei,110.31,blue,0,30
188340,626,apple,994.86,black,1,21
208392,626,apple,967.77,silver,1,29
93181,393,huawei,127.29,white,1,6
34128,474,samsung,131.51,silver,1,23
130939,426,huawei,271.49,black,0,30
111536,313,samsung,89.32,gold,0,30
94687,474,samsung,131.64,blue,0,30
182934,352,huawei,171.63,white,1,3
180403,412,samsung,197.17,white,1,3
74971,529,xiaomi,331.46,gold,0,30
58557,461,oppo,154.19,blue,0,30
42071,251,apple,1057.3,silver,1,18
82354,612,samsung,143.48,white,1,15
43865,485,samsung,380.8,white,1,2
103741,485,samsung,377.53,silver,1,14
150006,196,xiaomi,142.17,gold,0,30
201993,615,xiaomi,99.82,silver,1,3
168515,627,apple,1052.79,gold,0,30
97781,372,samsung,731.04,black,0,30
109396,420,samsung,250.69,silver,1,15
61686,419,samsung,250.82,black,0,30
24953,456,samsung,172.14,gold,0,30
28770,459,samsung,229.41,gold,0,30
132758,485,samsung,375.07,silver,1,16
65490,547,vivo,205.9,silver,1,4
216473,241,apple,1121.75,black,0,30
150080,474,samsung,131.64,black,0,30
101394,420,samsung,252.63,blue,0,30
198141,230,samsung,88.81,white,1,7
168016,485,samsung,380.83,white,1,1
212601,456,samsung,170.88,silver,0,30
53518,239,apple,1002.63,silver,1,22
14862,617,apple,1358.59,gold,0,30
18192,420,samsung,243.72,blue,0,30
28255,269,apple,714.75,black,0,30
114921,610,samsung,142.07,white,1,20
96598,474,samsung,132.05,black,0,30
96860,626,apple,1000.77,black,0,30
90889,270,apple,812.09,silver,1,16
178889,22,apple,469.77,white,1,22
9321,54,apple,575.18,white,1,24
171811,426,huawei,270.66,white,1,21
79739,408,xiaomi,190.22,black,1,19
196102,612,samsung,152.5,blue,0,30
160769,420,samsung,253.03,white,1,1
140762,459,samsung,224.07,silver,1,23
85137,387,huawei,154.03,silver,1,1
14888,476,samsung,131.79,silver,1,4
147407,501,huawei,111.2,gold,1,25
13241,214,xiaomi,146.03,blue,1,17
192502,485,samsung,378.53,white,1,13
73571,644,apple,1634.25,blue,0,30
141053,260,apple,745.58,silver,1,15
187046,406,xiaomi,196.86,blue,0,30
157591,457,samsung,173.3,black,1,16
155809,428,huawei,277.42,white,1,14
114037,655,apple,1747.79,blue,1,7
89878,20,apple,460.63,white,1,8
7631,408,xiaomi,189.97,white,1,22
216039,646,apple,1747.7,black,1,12
69102,387,huawei,153.87,silver,1,4
113678,486,samsung,380.7,white,1,3
56614,428,huawei,277.42,white,1,13
68619,474,samsung,131.53,black,1,21
211668,20,apple,458.87,white,1,21
163868,419,samsung,247.36,blue,0,30
9575,483,samsung,285.28,silver,1,16
160149,655,apple,1747.79,gold,0,30
177410,670,xiaomi,230.79,blue,1,13
16291,459,samsung,224.07,black,0,30
77444,612,samsung,152.75,black,0,30
127239,408,xiaomi,194.34,gold,1,9
21687,428,huawei,276.7,white,1,1
35142,351,huawei,171.18,gold,0,30
79500,456,samsung,174.33,white,1,2
178624,351,huawei,169.48,gold,0,30
167019,456,samsung,172.14,silver,1,16
1523,502,huawei,110.17,white,1,14
